candidate,case_id,case_index,collision_event_error,disagreement_mse,disagreement_pixel_frechet,disagreement_ssim_error,disagreement_temporal_gradient_mse,energy_drift,exact_miss_mse,exact_miss_pixel_frechet,exact_miss_ssim_error,exact_miss_temporal_gradient_mse,failed_collision_event_error,failed_energy_drift,failed_kinematic_residual,failed_momentum_drift,failed_position_rmse,failed_velocity_rmse,initial_condition_error,kinematic_residual,model_seed,momentum_drift,mse,partial_error,pixel_frechet,position_rmse,post_contact_position_rmse,psnr,ratio_to_random_mse,ratio_to_random_pixel_frechet,ratio_to_random_ssim_error,ratio_to_random_temporal_gradient_mse,ssim,ssim_error,state_failure,temporal_gradient_mse,velocity_rmse
analytic-oracle,test-0158,158,0.0,False,False,False,False,4.502601331868041e-16,False,False,False,False,False,False,False,False,False,False,0.0,0.005608820650057213,,0.0,0.0,False,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0
persistence,test-0158,158,1.0,False,True,False,True,0.0,False,False,False,False,True,False,True,False,False,True,0.0,0.4965618691737,,0.0,0.008670380339026451,True,0.0025072657781379432,0.029799570392352644,0.029988118001029216,20.619618511376913,0.5355123230389109,0.07738455266389238,0.5325870208831239,0.013110980698650927,0.49519657267978373,0.5048034273202162,True,0.00021131699031684548,0.7076903513991806
linear-extrapolation,test-0158,158,1.0,False,True,False,True,0.0,False,False,False,False,True,False,False,False,False,True,0.0,1.9991298954188258e-14,,0.0,0.005624552723020315,True,0.0005703011572109203,0.044279717982288073,0.06189868160012555,22.499120079094972,0.3473915995590159,0.01760184353780111,0.3861185125491978,0.011870222998300714,0.6340242235655368,0.3659757764344632,True,0.0001913190062623471,0.7076903513991806
learned-seed-11,test-0158,158,0.0,False,True,False,True,23.469539797589622,False,False,False,False,False,True,True,True,False,True,0.0,0.7262612837164627,11,3.5349273775022674,0.008000384084880352,True,0.001099549420327178,0.044818295176285765,0.06198183136392228,20.968891627655537,0.49413106449478666,0.0339366256125638,0.4923329716663891,0.03945763533265966,0.5333506793540876,0.46664932064591236,True,0.000635960721410811,1.0659255634240654
learned-seed-29,test-0158,158,1.0,False,True,False,True,12.916517204521268,False,False,False,False,True,True,True,True,False,True,0.0,1.0669798491294193,29,3.461085650583727,0.005470136180520058,True,0.0004482489369435497,0.02435486406262578,0.033461731293163426,22.620018616533674,0.3378543061351343,0.013834809125502083,0.33954735792631796,0.016525087460511026,0.6781658897084836,0.32183411029151643,True,0.00026634405367076397,1.181570791236491
learned-seed-47,test-0158,158,0.0,False,False,False,True,72.40978603263629,False,False,False,False,False,True,True,True,True,True,0.0,2.0843024148263343,47,7.0758604115557935,0.009769665077328682,True,0.008586778704869858,0.05503110011914132,0.07552556755842803,20.1012032446559,0.6034079055705937,0.2650233711536077,0.6012464708593231,0.04168965591662036,0.43011889653132146,0.5698811034686786,True,0.0006719354423694313,2.1357883582679307
analytic-oracle,test-0159,159,0.0,False,False,False,False,7.785459852694553e-16,False,False,False,False,False,False,False,False,False,False,0.0,0.020130499104598222,,0.0,0.0,False,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0
persistence,test-0159,159,1.0,False,True,False,True,0.0,False,False,False,False,True,False,True,False,False,True,0.0,0.5340451532701675,,0.0,0.00895075872540474,True,0.0026819009229843895,0.03347580744684368,0.03299781338552237,20.481401494561066,0.5829376239776093,0.09380449472665965,0.5845664648961582,0.01748466798974355,0.46226030111269906,0.5377396988873009,True,0.00027602605405263603,0.7716541697724093
linear-extrapolation,test-0159,159,1.0,False,True,False,True,0.0,False,False,False,False,True,False,False,False,True,True,0.0,2.896118427309938e-14,,0.0,0.006099674850702286,True,0.0008322284726615845,0.05421041276179557,0.07491706575647883,22.14693314876022,0.39725458741416186,0.02910874548202466,0.43017182671717924,0.017599553168057468,0.6042871384868311,0.39571286151316887,True,0.0002778397174552083,0.7716541697724093
learned-seed-11,test-0159,159,0.0,False,True,False,True,18.163275306682348,False,False,False,False,False,True,True,True,True,True,0.0,0.810437915668306,11,3.2192916786871173,0.008914289996027946,True,0.0010711722922289828,0.053256907216385235,0.0721788692044602,20.49913241729973,0.5805625186815576,0.03746625193220175,0.5796293079933458,0.048795758063941416,0.4668019664761909,0.5331980335238091,True,0.0007703263545408845,1.0820261294734141
