case_id,candidate,family,severity,expected_violation,physics_failed,position_rmse,velocity_rmse,initial_condition_error,energy_drift,momentum_drift,collision_event_error,kinematic_residual,mse,psnr,ssim,ssim_error,pixel_frechet,temporal_gradient_mse,ratio_to_random_mse,low_sensitivity_mse,exact_miss_mse,ratio_to_random_ssim_error,low_sensitivity_ssim_error,exact_miss_ssim_error,ratio_to_random_pixel_frechet,low_sensitivity_pixel_frechet,exact_miss_pixel_frechet,ratio_to_random_temporal_gradient_mse,low_sensitivity_temporal_gradient_mse,exact_miss_temporal_gradient_mse
case-006,inelastic-0.95,inelastic,0.05,energy,1.0,0.0012784233281621339,0.018725573840021218,0.0,0.09677462884193891,0.0,0.0,0.027070225917692013,7.723971066297963e-05,41.12159361740218,0.996277863430759,0.00372213656924103,4.1655248478158005e-06,3.105855648755096e-05,0.003922708329490347,1.0,0.0,0.00391029189588846,1.0,0.0,7.313361332843073e-05,1.0,0.0,0.0015522183507440568,1.0,0.0
case-006,inelastic-0.80,inelastic,0.2,energy,1.0,0.005113693312650211,0.07490229536008512,0.0,0.35732170649331413,0.0,0.0,0.027070225917692013,0.000875558762345463,30.577147013155688,0.9578197390050592,0.042180260994940766,5.4658928311780274e-05,0.000146042337291874,0.04446626768187733,1.0,0.0,0.04431248818164908,1.0,0.0,0.0009596401591977538,1.0,0.0,0.007298780805246462,1.0,0.0
case-006,inelastic-0.50,inelastic,0.5,energy,1.0,0.012784233281621173,0.1872557384002127,0.0,0.7444202218610706,0.0,0.0,0.027070225917692013,0.002958045806735754,25.289951050319797,0.8574601280503648,0.14253987194963524,0.0002829751916150389,0.00016253469220828265,0.15022778860120486,1.0,0.0,0.14974531314397466,1.0,0.0,0.004968161036409207,1.0,0.0,0.008123021814595833,1.0,0.0
case-006,momentum-kick-0.025,momentum-kick,0.025,momentum,1.0,0.0008796583587516961,0.012884705080055172,0.0,0.004738001680554153,0.034275815829866954,0.0,0.027070225917692013,3.766778172575869e-05,44.24029954859883,0.9981850080966126,0.0018149919033874085,3.828739764508756e-06,7.454450496879872e-06,0.0019130020019595684,1.0,0.0,0.0019067403892614595,1.0,0.0,6.722071856553533e-05,1.0,0.0,0.0003725522421046196,1.0,0.0
case-006,momentum-kick-0.075,momentum-kick,0.075,momentum,1.0,0.0026389750762596097,0.03865411524016555,0.0,0.007165015736844429,0.10282744748960095,0.0,0.027070225917692013,0.0002952470094896853,35.29814492592365,0.9857778993267027,0.014222100673297322,3.9494942657742824e-05,3.916118657798506e-05,0.014994461960580652,1.0,0.0,0.014941032917726641,1.0,0.0,0.0006934079066349705,1.0,0.0,0.0019571647660967468,1.0,0.0
case-006,momentum-kick-0.150,momentum-kick,0.15,momentum,1.0,0.005277950152518885,0.07730823048033113,0.0,0.006816936440764199,0.20565489497920195,0.0,0.027070225917692013,0.0009164076764136553,30.379112815405534,0.955845473190152,0.044154526809847994,0.00011196238145539912,9.188162221107632e-05,0.04654082718100727,1.0,0.0,0.046386553835273264,1.0,0.0,0.0019657099193593638,1.0,0.0,0.004591982249700856,1.0,0.0
case-006,collision-dropout,collision-dropout,1.0,collision,1.0,0.05139177500566732,0.7490229536008506,0.0,0.0,0.0,1.0,3.651566851510659e-14,0.007293941918760538,21.370376992704184,0.6094770412950954,0.3905229587049046,0.0019280785368192047,0.000264995003817603,0.37043130371608535,0.0,0.0,0.4102640330828996,0.0,0.0,0.0338510404643294,1.0,0.0,0.013243696884175737,1.0,0.0
case-006,time-reverse,time-reverse,1.0,initial-condition,1.0,0.009012016726929284,0.995018815980182,0.7267101210076882,0.0,0.0,0.0,1.029553006532079,0.002616784069687128,25.82232112748878,0.8739383502097186,0.12606164979028145,0.0,0.0004444960504770279,0.13289641530932378,1.0,0.0,0.13243411099710947,1.0,0.0,0.0,1.0,1.0,0.022214648857240043,1.0,0.0
case-006,random,random,1.0,state,1.0,0.27472979507847706,0.7589304332630474,0.5526085443209997,2.5242705365148024,2.6734851724702198,0.0,367.1845006638146,0.01969040371477604,17.05745379377267,0.04811797473361753,0.9518820252663824,0.05695773336275797,0.02000914141535759,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
case-007,correct,correct,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029717260876538257,0.0,120.0,1.0,0.0,6.036837696399289e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8361968814114586e-14,0.0,0.0,0.0,0.0,0.0
